1	0.010215
2	0.002013
3	0.000863
4	0.000465
5	0.001082
6	0.014880
7	0.002674
8	0.001968
9	0.012559
10	0.029429
11	0.014128
12	0.003538
13	0.002013
14	0.002742
15	0.001172
16	0.001082
17	0.001172
18	0.020806
19	0.012161
20	0.005881
21	0.002366
22	0.002742
23	0.011387
24	0.003538
25	0.005506
26	0.002742
27	0.002366
28	0.004311
29	0.003140
30	0.002742
31	0.009021
32	0.004311
33	0.006677
34	0.002742
35	0.003538
36	0.002742
37	0.003140
38	0.006610
39	0.003538
40	0.004709
41	0.003229
42	0.002742
43	0.004311
44	0.001172
45	0.001968
46	0.000398
47	0.003538
48	0.002742
49	0.001172
50	0.001480
51	0.002366
52	0.005108
53	0.001570
54	0.004311
55	0.000819
56	0.000796
57	0.000796
58	0.000796
59	0.001172
60	0.000796
61	0.000796
62	0.000796
63	0.000090
64	0.000045
65	0.000398
66	0.000398
67	0.000398
68	0.000398
69	0.000465
70	0.000796
